Inches,Centimeters,UniqueFact,Context
0.3,0.76,"A 0.3-inch measurement is roughly the thickness of a standard smartphone, ideal for compact device design.","technology"
0.4,1.02,"At 0.4 inches, this length matches the diameter of a small coin, often used in precision engineering.","technology"
0.5,1.27,"Half an inch is commonly used to describe the thickness of slim laptops or tablets.","technology"
0.6,1.52,"A 0.6-inch gap is typical for small hardware components like screws or connectors.","technology"
0.7,1.78,"This 0.7-inch measurement is close to the width of a standard USB plug.","technology"
0.8,2.03,"At 0.8 inches, this is similar to the height of a stack of 10 credit cards.","technology"
0.9,2.29,"A 0.9-inch length is often seen in the diameter of watch faces for compact timepieces.","technology"
1,2.54,"One inch is a standard unit for measuring small objects like buttons or jewelry.","daily life"
1.1,2.79,"A 1.1-inch measurement is typical for the width of a key on a standard keyboard.","technology"
1.2,3.05,"At 1.2 inches, this length is common for small tool bits or drill sizes.","technology"
1.3,3.30,"A 1.3-inch dimension is often used in the design of compact camera lenses.","technology"
1.4,3.56,"This 1.4-inch measurement matches the size of some smartwatch screens.","technology"
1.5,3.81,"A 1.5-inch length is typical for the diameter of a bottle cap.","daily life"
1.6,4.06,"At 1.6 inches, this is close to the width of a standard USB flash drive.","technology"
1.7,4.32,"A 1.7-inch measurement is common for the diameter of small dessert plates.","daily life"
1.8,4.57,"This 1.8-inch length is often used for the size of compact earbuds.","technology"
1.9,4.83,"A 1.9-inch dimension is typical for the width of a small smartphone.","technology"
2,5.08,"Two inches is a common length for keychains or small decorative items.","daily life"
2.1,5.33,"A 2.1-inch measurement is often seen in the diameter of coffee mug bases.","daily life"
2.3,5.84,"This 2.3-inch length is typical for the width of a standard computer mouse.","technology"
2.4,6.10,"A 2.4-inch measurement is common for the screen size of early mobile phones.","technology"
2.5,6.35,"At 2.5 inches, this is a standard size for external hard drive enclosures.","technology"
2.6,6.60,"A 2.6-inch length is often used for the diameter of small coasters.","daily life"
2.7,6.86,"This 2.7-inch measurement is typical for the width of some smartwatch bands.","technology"
2.8,7.11,"A 2.8-inch dimension is common for the screen size of feature phones.","technology"
3,7.62,"Three inches is a common length for pocket knives or small tools.","daily life"
3.2,8.13,"A 3.2-inch measurement is typical for the screen size of older smartphones.","technology"
